experiment_id,zone,training_size_k,method,seed,balanced_accuracy,macro_f1,weighted_f1,f1_NN,f1_NV,f1_VN,f1_VV,precision_NN,precision_NV,precision_VN,precision_VV,recall_NN,recall_NV,recall_VN,recall_VV,test_n_NN,test_n_NV,test_n_VN,test_n_VV,train_n_NN,train_n_NV,train_n_VN,train_n_VV,sample_time,train_time,eval_time,total_time
0,baseline,5094.913,majority_class,,0.25,0.21971097896383424,0.6889019641053689,0.0,0.0,0.0,0.8788439158553369,0.0,0.0,0.0,0.783872939980353,0.0,0.0,0.0,1.0,203623,95451,172847,1711614,475119,222720,403309,3993765,0.0,0.0,4.859424352645874,4.859424352645874
1,comparison,100.0,stratified,42.0,0.3993966735978864,0.3481957323276055,0.6453154288393356,0.35047749839629205,0.11514932135989875,0.16911004064743315,0.7580460689067979,0.2772526888176064,0.07626208012840131,0.13237016534819962,0.9047379412115069,0.4762625047268727,0.23495825083026894,0.23407985096646167,0.6522860878679422,203623,95451,172847,1711614,9325,4372,7916,78387,3.91133451461792,19.920669555664062,22.709898710250854,46.566898822784424
2,comparison,100.0,stratified,123.0,0.40090468540232427,0.3476343480819027,0.6440053093122418,0.34888196380733694,0.12001257846985243,0.1649271038571553,0.7567157461932661,0.27736615020848604,0.07716247221839487,0.1344277714585703,0.9047451063905881,0.4700893317552536,0.2698871672376403,0.21332739359086358,0.6503148490255396,203623,95451,172847,1711614,9325,4372,7916,78387,3.8443262577056885,24.71106481552124,22.094820976257324,50.67922496795654
3,comparison,100.0,stratified,456.0,0.39930702261155276,0.3476204919565103,0.6463671384728182,0.34675438201234626,0.11835808510169563,0.16533671959170218,0.7600327811202972,0.27389935137043636,0.07722185312004906,0.1338510473679686,0.9045299314159917,0.472412252054041,0.2532817885616704,0.21619119799591546,0.6553428518345842,203623,95451,172847,1711614,9325,4372,7916,78387,3.437325954437256,33.21875548362732,22.187843799591064,58.8688862323761
4,comparison,100.0,balanced,42.0,0.4151260173631284,0.3450642392303713,0.6176066410991093,0.3642858310879191,0.12346843147674025,0.1722265610472684,0.7202761333095573,0.2891007561469382,0.07569525722977487,0.13394931786408704,0.9187158148082367,0.49232159431891287,0.3347162418413636,0.24113233090536718,0.5923339023868699,203623,95451,172847,1711614,25000,25000,25000,25000,1.5971267223358154,17.64345669746399,22.290855884552002,41.55645537376404
5,comparison,100.0,balanced,123.0,0.4151993838829397,0.3454873715862953,0.61981236810199,0.3624071105930351,0.12440707283526817,0.17183454010430077,0.7233007628125769,0.288022882486965,0.07602791236987383,0.13589553745709093,0.9185652425435743,0.488589206523821,0.3420917538841919,0.23361701389089773,0.5964995612328481,203623,95451,172847,1711614,25000,25000,25000,25000,0.45104312896728516,27.97834038734436,22.64389181137085,51.105263233184814
6,comparison,100.0,balanced,456.0,0.4154273338017805,0.34562709026286664,0.6201445795546348,0.36278933719532425,0.12324803593671842,0.17282753040896162,0.7236434575104622,0.2848412709526544,0.0758204733379351,0.1363180755095222,0.9183220319792675,0.4994720635684574,0.3291217483316047,0.2360469085376084,0.5970686147694515,203623,95451,172847,1711614,25000,25000,25000,25000,0.44503307342529297,52.99842119216919,21.98583221435547,75.45229291915894
7,comparison,200.0,stratified,42.0,0.4098639549243096,0.35278258527504247,0.6439811005806271,0.36281780046093337,0.12129557057216091,0.17286293781840134,0.7541540322486742,0.28799503700604506,0.07822119412771848,0.13635634511659617,0.9112155720338984,0.4901656492635901,0.269950026715278,0.23606426492794205,0.6432758787904282,203623,95451,172847,1711614,18651,8743,15832,156774,3.2542736530303955,107.93000221252441,22.212860822677612,133.42414736747742
8,comparison,200.0,stratified,123.0,0.41170047729061904,0.3518459320526387,0.6413869376876202,0.3606323426342297,0.1245692394643725,0.17108005489580252,0.75110209121615,0.28565813407699414,0.07883251500272777,0.13896838818784962,0.9116680803577014,0.4889673563399027,0.2967176876093493,0.22249156768702957,0.6386252975261946,203623,95451,172847,1711614,18651,8743,15832,156774,3.450291872024536,239.75007438659668,22.278872966766357,265.50523948669434
9,comparison,200.0,stratified,456.0,0.41101670559439984,0.3517386018794255,0.6425730719190714,0.36137093618116495,0.1218329937017989,0.17106941639204848,0.7526810612426899,0.28186195650081536,0.07815135266516683,0.13858458712041022,0.9114214893058523,0.5033616045338689,0.2762254978994458,0.22344616915538018,0.6410335507889046,203623,95451,172847,1711614,18651,8743,15832,156774,3.2692694664001465,280.7775297164917,21.971827507019043,306.043648481369
10,comparison,200.0,balanced,42.0,0.42243995595909517,0.35214725674139813,0.6272158286471257,0.3754167370691143,0.12651253536240367,0.1760000344153372,0.7306597201187375,0.2979260865553197,0.07773214512621704,0.14007984606008314,0.919878679307195,0.5073886545233103,0.3396716639951389,0.23669488044339793,0.6060046248745337,203623,95451,172847,1711614,50000,50000,50000,50000,0.48804187774658203,241.72325372695923,22.198850870132446,264.43514585494995
11,comparison,200.0,balanced,123.0,0.42212868679376864,0.3523060758818556,0.6284295631397936,0.3749819885054746,0.1266321099964212,0.17528482628678088,0.7323253787387456,0.29826658696951586,0.0775605444581934,0.14146341463414633,0.9192450825437252,0.5048250934324708,0.3447528051041896,0.23035979797161651,0.6085770506667976,203623,95451,172847,1711614,50000,50000,50000,50000,0.4820425510406494,148.6064829826355,21.928842544555664,171.04337453842163
