Kommun,balanced_accuracy,n_test,entropy,majority_prop,hhi,n_obs,p_NN,p_NV,p_VN,p_VV
0114,0.3995135908581514,9581,0.8809218177189786,0.7218985228811691,0.549732456508678,31751,0.12947623696891436,0.054486472866996316,0.09413876728292023,0.7218985228811691
0115,0.419865649726119,6878,0.6425276814824316,0.8277614686938615,0.6957296163001259,22823,0.06992945712658283,0.03671734653638873,0.06559172764316698,0.8277614686938615
0117,0.4447817179527497,8544,0.6912481310975447,0.8077360637087599,0.6658757037293417,29007,0.08222153273347813,0.03737028993001689,0.07267211362774503,0.8077360637087599
0120,0.4242573185673429,9402,0.6533703503047488,0.8237556488574084,0.6895717856580816,31201,0.07038235953975834,0.03807570270183648,0.06778628890099676,0.8237556488574084
0123,0.3954316229795815,16287,0.8443772569892217,0.7399409376153562,0.5723544469367179,54180,0.11360280546327058,0.048615725359911405,0.09784053156146179,0.7399409376153562
0125,0.449320904669692,5717,0.5550148398156194,0.859260816991746,0.7454420761310024,19021,0.054150675569107826,0.028599968455917144,0.05798853898322906,0.859260816991746
0126,0.4350400434694701,22508,0.8614610905913914,0.7298443942013566,0.5602863018775099,75190,0.13129405506051336,0.05027264263864876,0.08858890809948132,0.7298443942013566
0127,0.3868560594797752,18040,1.0409304238292751,0.6254574963151881,0.44575799383581893,60383,0.1899706871139228,0.06546544557242932,0.11910637099845983,0.6254574963151881
0128,0.4296838117968005,3397,0.7278032191289712,0.7934792160998331,0.6449138453535664,11379,0.08867211530011425,0.043149661657439144,0.07469900694261358,0.7934792160998331
0136,0.4214916195730176,18586,0.8897195388426662,0.7130537297524264,0.5404035774677802,61921,0.14222961515479401,0.04728605804169829,0.09743059705108122,0.7130537297524264
0138,0.4407577823336849,9884,0.6778997044679363,0.8123002479166045,0.672833860121594,33479,0.0786463156008244,0.03366289315690433,0.07539054332566683,0.8123002479166045
0139,0.411600218292856,5902,0.8336515367761062,0.7449448529411765,0.578941435493894,19584,0.11662581699346405,0.049019607843137254,0.08940972222222222,0.7449448529411765
0140,0.4304017805958948,2197,0.6196862557769514,0.8365043957485894,0.7092124588029047,7621,0.07006954467917596,0.036740585225036086,0.05668547434719853,0.8365043957485894
0160,0.4552502219410143,13949,0.5882709966845059,0.8465445623399264,0.7253139504445283,46463,0.061597400081785506,0.027720982286981038,0.06413705529130706,0.8465445623399264
0162,0.4310863267056364,6733,0.5239533090976884,0.8690658499234303,0.7616328016408632,22202,0.049184758129898205,0.02360147734438339,0.05814791460228808,0.8690658499234303
0163,0.4234318581609626,14660,0.7260014606161402,0.7936832631019106,0.6453792618762157,48886,0.0909871946978685,0.041586548296035676,0.07374299390418525,0.7936832631019106
0180,0.4383442062028755,208293,0.7510304159187295,0.782310444861731,0.6294285460624669,693901,0.09632642120417755,0.04098855600438679,0.08037457792970466,0.782310444861731
0181,0.3835889393160171,19856,1.0515296084425736,0.6183563922280184,0.43949701203226366,66135,0.2004536176003629,0.07422696000604824,0.10696303016557042,0.6183563922280184
0182,0.422982707612816,21286,0.6735434431848986,0.8146794664567726,0.6762088121521354,71147,0.07695335010611831,0.03530718090713593,0.07306000252997315,0.8146794664567726
0183,0.4117527430928513,9937,0.8509926976413301,0.7372676305694895,0.5688317984321031,33890,0.11903216287990558,0.052168781351431104,0.0915314251991738,0.7372676305694895
0184,0.4286279288945286,17511,0.778966180952476,0.7699960615763969,0.6123848004234802,58399,0.10323806914501961,0.04340827753899896,0.08335759173958458,0.7699960615763969
0186,0.4374455328691949,10034,0.6152157935031094,0.8369463056726192,0.7101897839235212,32983,0.06530636994815511,0.03059151684200952,0.06715580753721614,0.8369463056726192
0187,0.375038965507168,2455,0.5563647462699884,0.8578765078227636,0.7434712809306454,8373,0.04753373940045384,0.027469246387196944,0.06712050638958557,0.8578765078227636
0188,0.4199230592908768,13858,0.7415392818667272,0.7872164769270878,0.6361047813691137,46028,0.09213956721995308,0.04260450160771704,0.07803945424524203,0.7872164769270878
0191,0.4087270313106677,9748,0.9377086261852038,0.6915090841675936,0.5137788708776928,32364,0.14849833147942157,0.060715609936967,0.0992769744160178,0.6915090841675936
0192,0.4108292970255012,6061,0.8076673297820175,0.7570258472705871,0.5948758152775926,20389,0.1111874049732699,0.04664279758693413,0.08514395016920889,0.7570258472705871
0305,0.3987237305437132,4497,0.708733359756698,0.8017548489246602,0.6567730056528548,15158,0.08048555218366539,0.042287900778466815,0.07547169811320754,0.8017548489246602
0319,0.371079284693362,2063,0.7615497254042336,0.7776440499473447,0.6228958774254368,6647,0.09177072363472243,0.04061982849405747,0.08996539792387544,0.7776440499473447
0330,0.4346343157140197,3863,0.6094388261070752,0.8409182117344891,0.7159267355590756,12459,0.060679027209246325,0.037803997110522514,0.06059876394574203,0.8409182117344891
0331,0.3875118626387198,3071,0.7566717306516136,0.7822248381400824,0.6286107393744023,10194,0.09181871689228958,0.04934275063762998,0.07661369432999804,0.7822248381400824
0360,0.4161985695262233,4650,0.7288900317084013,0.793273013375295,0.6445210626695743,15252,0.08293994230264884,0.04320744820351429,0.08057959611854183,0.793273013375295
0380,0.4287987897297137,48467,0.6846850332196341,0.8109024743467551,0.6704047322770321,161578,0.07664409758754286,0.038272537102823405,0.07418089096287861,0.8109024743467551
0381,0.4064288856912492,9530,0.7512615919453757,0.7837558037394905,0.6309807099165055,31876,0.08780900991341448,0.044861337683523655,0.08357384866357134,0.7837558037394905
0382,0.4174777198238106,4954,0.7385097785353858,0.7893873085339168,0.6389142778978657,16452,0.08600778020909312,0.04467541940189643,0.07992949185509361,0.7893873085339168
0428,0.3953997307919528,1723,0.6876989555425832,0.8098872506504771,0.66885983169965,5765,0.08048568950563746,0.03972246313963573,0.06990459670424978,0.8098872506504771
0461,0.367175145237177,2463,0.6906081053860682,0.8090897740042452,0.6675684230318929,8009,0.07878636533899364,0.041078786365338994,0.07104507429142215,0.8090897740042452
